"","time","S","I","R","V","Total"
"128",128,21.786979754196,5.53803044338072e-05,78.2129648654995,64,14.213020245804
"129",129,21.2869783707365,4.43474691440138e-05,78.7129772817944,64.5,14.2130216292636
"130",130,20.7869773143543,3.54672607708468e-05,79.212987218385,65,14.2130226856458
"131",131,20.2869765096486,2.83298836913777e-05,79.7129951604677,65.5,14.2130234903515
"133",132,20.2869793736591,2.26151176320703e-05,79.7130063411033,65.5,14.2130206263409
"134",133,20.2869788736434,1.80529521280611e-05,79.7130114032845,65.5,14.2130211263566
"135",134,20.2869784744989,1.44111395100725e-05,79.7130154442416,65.5,14.2130215255011
"136",135,20.2869781558733,1.15039848202631e-05,79.7130186700219,65.5,14.2130218441267
"137",136,20.2869779015233,9.1832836420241e-06,79.7130212450731,65.5,14.2130220984767
"138",137,20.2869776984966,7.3308590249503e-06,79.7130233005244,65.5,14.2130223015034
"139",138,20.2869775364142,5.85201135770299e-06,79.7130249414545,65.5,14.2130224635858
"140",139,20.2869774070288,4.67149328561936e-06,79.7130262513579,65.5,14.2130225929712
"141",140,20.2869773037457,3.72913287990401e-06,79.7130272970015,65.5,14.2130226962543
"142",141,20.2869772212963,2.97686066621806e-06,79.7130281317231,65.5,14.2130227787037
"143",142,20.2869771554789,2.37633975683731e-06,79.7130287980614,65.5,14.2130228445211
"144",143,20.2869771029383,1.89695665448913e-06,79.7130293299851,65.5,14.2130228970617
"145",144,20.2869770609974,1.51428592010291e-06,79.7130297545968,65.5,14.2130229390026
"146",145,20.2869770275174,1.20881300671092e-06,79.7130300935496,65.5,14.2130229724826
"147",146,20.286977000791,9.64960509526707e-07,79.7130303641285,65.5,14.213022999209
"148",147,20.2869769794562,7.70300866311469e-07,79.7130305801229,65.5,14.2130230205438
"149",148,20.2869769624252,6.14909056307277e-07,79.7130307525457,65.5,14.2130230375748
"150",149,20.2869769488298,4.90864035743367e-07,79.7130308901862,65.5,14.2130230511702
"151",150,20.2869769379771,3.91843752688813e-07,79.7130310000591,65.5,14.2130230620229
"152",151,20.2869769293138,3.12798565369319e-07,79.7130310877677,65.5,14.2130230706862
"153",152,20.286976922398,2.49698628831161e-07,79.7130311577834,65.5,14.213023077602
"154",153,20.2869769168773,1.99327719751129e-07,79.713031213675,65.5,14.2130230831227
"155",154,20.2869769124703,1.59117938653066e-07,79.7130312582918,65.5,14.2130230875297
"156",155,20.2869769089523,1.27019545752358e-07,79.7130312939082,65.5,14.2130230910477
"157",156,20.286976906144,1.01396282068397e-07,79.7130313223398,65.5,14.213023093856
"158",157,20.2869769039021,8.09419144448875e-08,79.713031345036,65.5,14.2130230960979
"159",158,20.2869769021126,6.46137457545294e-08,79.7130313631537,65.5,14.2130230978874
"160",159,20.286976900684,5.15793644188796e-08,79.7130313776167,65.5,14.213023099316
"161",160,20.2869768995436,4.11744504289949e-08,79.713031389162,65.5,14.2130231004564
"162",161,20.2869768986333,3.28682848912371e-08,79.7130313983785,65.5,14.2130231013667
"163",162,20.2869768979065,2.62373961259945e-08,79.7130314057361,65.5,14.2130231020935
"164",163,20.2869768973264,2.0944308491373e-08,79.7130314116093,65.5,14.2130231026736
"165",164,20.2869768968633,1.67186261114982e-08,79.7130314162982,65.5,14.2130231031368
"166",165,20.2869768964937,1.33463665034149e-08,79.71303142004,65.5,14.2130231035064
"167",166,20.2869768961987,1.06548539121985e-08,79.7130314230265,65.5,14.2130231038013
"168",167,20.2869768959632,8.50630723452846e-09,79.7130314254105,65.5,14.2130231040368
"169",168,20.2869768957752,6.79089007467669e-09,79.713031427314,65.5,14.2130231042248
"170",169,20.2869768956251,5.42141072979436e-09,79.7130314288335,65.5,14.2130231043749
"171",170,20.2869768955052,4.32811205593219e-09,79.7130314300467,65.5,14.2130231044948
"172",171,20.2869768954096,3.45529009871509e-09,79.7130314310152,65.5,14.2130231045904
"173",172,20.286976895333,2.75676626863912e-09,79.7130314317902,65.5,14.213023104667
"174",173,20.2869768952722,2.20165876570293e-09,79.7130314324062,65.5,14.2130231047278
"175",174,20.2869768952233,1.75592126267663e-09,79.7130314329008,65.5,14.2130231047767
"176",175,20.2869768951844,1.40060021754561e-09,79.713031433295,65.5,14.2130231048156
"177",176,20.2869768951533,1.11722359583438e-09,79.7130314336095,65.5,14.2130231048467
"178",177,20.2869768951286,8.91179606507118e-10,79.7130314338603,65.5,14.2130231048714
"179",178,20.2869768951088,7.10869586617835e-10,79.7130314340604,65.5,14.2130231048912
"180",179,20.286976895093,5.67041222458887e-10,79.71303143422,65.5,14.213023104907
"181",180,20.2869768950804,4.523132827315e-10,79.7130314343473,65.5,14.2130231049196
"182",181,20.2869768950704,3.60797941619536e-10,79.7130314344488,65.5,14.2130231049296
"183",182,20.2869768950624,2.87798655412854e-10,79.7130314345298,65.5,14.2130231049376
"184",183,20.286976895056,2.29569120273847e-10,79.7130314345944,65.5,14.213023104944
"185",184,20.2869768950509,1.83121011835365e-10,79.713031434646,65.5,14.2130231049491
"186",185,20.2869768950469,1.46070625420597e-10,79.7130314346871,65.5,14.2130231049531
"187",186,20.2869768950436,1.16516544971585e-10,79.7130314347199,65.5,14.2130231049564
"188",187,20.2869768950411,9.29420628755687e-11,79.713031434746,65.5,14.2130231049589
"189",188,20.286976895039,7.41373429299054e-11,79.7130314347669,65.5,14.213023104961
"190",189,20.2869768950374,5.91373318673259e-11,79.7130314347835,65.5,14.2130231049626
"191",190,20.286976895036,4.7172233076828e-11,79.7130314347968,65.5,14.213023104964
"192",191,20.286976895035,3.76280008446583e-11,79.7130314348074,65.5,14.213023104965
"193",192,20.2869768950342,3.00148276902564e-11,79.7130314348158,65.5,14.2130231049658
"194",193,20.2869768950335,2.39420075755545e-11,79.7130314348226,65.5,14.2130231049665
"195",194,20.286976895033,1.90978849741653e-11,79.7130314348279,65.5,14.213023104967
"196",195,20.2869768950326,1.52338607919766e-11,79.7130314348322,65.5,14.2130231049675
"197",196,20.2869768950322,1.21516343272178e-11,79.7130314348356,65.5,14.2130231049678
"198",197,20.2869768950319,9.6930265307523e-12,79.7130314348384,65.5,14.2130231049681
"199",198,20.2869768950317,7.73186229900155e-12,79.7130314348405,65.5,14.2130231049683
"200",199,20.2869768950316,6.16749520091137e-12,79.7130314348423,65.5,14.2130231049684
"201",200,20.2869768950314,4.91421556546265e-12,79.7130314348437,65.5,14.2130231049686
"202",201,20.2869768950313,3.90919707376432e-12,79.7130314348448,65.5,14.2130231049687
"203",202,20.2869768950312,3.06784268397495e-12,79.7130314348457,65.5,14.2130231049688
"204",203,20.2869768950311,2.50373530135233e-12,79.7130314348463,65.5,14.2130231049688
"205",204,20.2869768950311,2.0433545996553e-12,79.7130314348469,65.5,14.2130231049689
"206",205,20.2869768950311,1.66762757136399e-12,79.7130314348473,65.5,14.2130231049689
"207",206,20.286976895031,1.36098830679828e-12,79.7130314348476,65.5,14.213023104969
"208",207,20.286976895031,1.11073311754292e-12,79.7130314348479,65.5,14.213023104969
"209",208,20.286976895031,9.0649423822675e-13,79.7130314348481,65.5,14.213023104969
"210",209,20.286976895031,7.39810302726965e-13,79.7130314348483,65.5,14.213023104969
"211",210,20.2869768950309,6.0377580015468e-13,79.7130314348484,65.5,14.2130231049691
"212",211,20.2869768950309,4.92754988013412e-13,79.7130314348486,65.5,14.2130231049691
"213",212,20.2869768950309,4.0214841030378e-13,79.7130314348486,65.5,14.2130231049691
"214",213,20.2869768950309,3.28202347706029e-13,79.7130314348487,65.5,14.2130231049691
"215",214,20.2869768950309,2.67853305595266e-13,79.7130314348488,65.5,14.2130231049691
"216",215,20.2869768950309,2.1860109721876e-13,79.7130314348489,65.5,14.2130231049691
"217",216,20.2869768950309,1.78405264027066e-13,79.7130314348489,65.5,14.2130231049691
"218",217,20.2869768950309,1.45600541980426e-13,79.7130314348489,65.5,14.2130231049691
"219",218,20.2869768950309,1.18827871703256e-13,79.713031434849,65.5,14.2130231049691
"220",219,20.2869768950309,9.69780943220918e-14,79.713031434849,65.5,14.2130231049691
"221",220,20.2869768950309,7.91460003746483e-14,79.713031434849,65.5,14.2130231049691
"222",221,20.2869768950309,6.45928280926928e-14,79.713031434849,65.5,14.2130231049691
"223",222,20.2869768950309,5.27156574086162e-14,79.713031434849,65.5,14.2130231049691
"224",223,20.2869768950309,4.30224317173418e-14,79.7130314348491,65.5,14.2130231049691
"225",224,20.2869768950309,3.51115725745067e-14,79.7130314348491,65.5,14.2130231049691
"226",225,20.2869768950309,2.8655342793139e-14,79.7130314348491,65.5,14.2130231049691
"227",226,20.2869768950309,2.33862686967345e-14,79.7130314348491,65.5,14.2130231049691
"228",227,20.2869768950309,1.90860590118926e-14,79.7130314348491,65.5,14.2130231049691
"229",228,20.2869768950309,1.55765613287558e-14,79.7130314348491,65.5,14.2130231049691
"230",229,20.2869768950309,1.27123814653044e-14,79.7130314348491,65.5,14.2130231049691
"231",230,20.2869768950309,1.03748599648293e-14,79.7130314348491,65.5,14.2130231049691
"232",231,20.2869768950309,8.46715618026328e-15,79.7130314348491,65.5,14.2130231049691
"233",232,20.2869768950309,6.9102362850206e-15,79.7130314348491,65.5,14.2130231049691
"234",233,20.2869768950309,5.63959899855426e-15,79.7130314348491,65.5,14.2130231049691
"235",234,20.2869768950309,4.6026033774617e-15,79.7130314348491,65.5,14.2130231049691
"236",235,20.2869768950309,3.75628796580261e-15,79.7130314348491,65.5,14.2130231049691
"237",236,20.2869768950309,3.06559095470332e-15,79.7130314348491,65.5,14.2130231049691
"238",237,20.2869768950309,2.50189761464435e-15,79.7130314348491,65.5,14.2130231049691
"239",238,20.2869768950309,2.04185482233354e-15,79.7130314348491,65.5,14.2130231049691
"240",239,20.2869768950309,1.66640356946797e-15,79.7130314348491,65.5,14.2130231049691
"241",240,20.2869768950309,1.35998937140987e-15,79.7130314348491,65.5,14.2130231049691
"242",241,20.2869768950309,1.10991786397716e-15,79.7130314348491,65.5,14.2130231049691
"243",242,20.2869768950309,9.0582889151444e-16,79.7130314348491,65.5,14.2130231049691
"244",243,20.2869768950309,7.3926729835758e-16,79.7130314348491,65.5,14.2130231049691
"245",244,20.2869768950309,6.03332642112383e-16,79.7130314348491,65.5,14.2130231049691
"246",245,20.2869768950309,4.92393316797625e-16,79.7130314348491,65.5,14.2130231049691
"247",246,20.2869768950309,4.01853242314387e-16,79.7130314348491,65.5,14.2130231049691
"248",247,20.2869768950309,3.27961454490976e-16,79.7130314348491,65.5,14.2130231049691
"249",248,20.2869768950309,2.67656707240622e-16,79.7130314348491,65.5,14.2130231049691
"250",249,20.2869768950309,2.18440648892973e-16,79.7130314348491,65.5,14.2130231049691
"251",250,20.2869768950309,1.78274318550465e-16,79.7130314348491,65.5,14.2130231049691
"252",251,20.2869768950309,1.45493674440623e-16,79.7130314348491,65.5,14.2130231049691
"253",252,20.2869768950309,1.18740654707603e-16,79.7130314348491,65.5,14.2130231049691
"254",253,20.2869768950309,9.69069145761676e-17,79.7130314348491,65.5,14.2130231049691
"255",254,20.2869768950309,7.90879089878501e-17,79.7130314348491,65.5,14.2130231049691
"256",255,20.2869768950309,6.45454184092736e-17,79.7130314348491,65.5,14.2130231049691
"257",256,20.2869768950309,5.26769653028532e-17,79.7130314348491,65.5,14.2130231049691
"258",257,20.2869768950309,4.29908542217974e-17,79.7130314348491,65.5,14.2130231049691
"259",258,20.2869768950309,3.50858014711741e-17,79.7130314348491,65.5,14.2130231049691
"260",259,20.2869768950309,2.86343104169e-17,79.7130314348491,65.5,14.2130231049691
"261",260,20.2869768950309,2.33691037021065e-17,79.7130314348491,65.5,14.2130231049691
"262",261,20.2869768950309,1.90720502742574e-17,79.7130314348491,65.5,14.2130231049691
"263",262,20.2869768950309,1.55651284833407e-17,79.7130314348491,65.5,14.2130231049691
"264",263,20.2869768950309,1.27030508632078e-17,79.7130314348491,65.5,14.2130231049691
"265",264,20.2869768950309,1.03672450503935e-17,79.7130314348491,65.5,14.2130231049691
"266",265,20.2869768950309,8.46094147715383e-18,79.7130314348491,65.5,14.2130231049691
"267",266,20.2869768950309,6.90516432589819e-18,79.7130314348491,65.5,14.2130231049691
"268",267,20.2869768950309,5.63545965852685e-18,79.7130314348491,65.5,14.2130231049691
"269",268,20.2869768950309,4.59922516887425e-18,79.7130314348491,65.5,14.2130231049691
"270",269,20.2869768950309,3.75353093371906e-18,79.7130314348491,65.5,14.2130231049691
"271",270,20.2869768950309,3.06334087874946e-18,79.7130314348491,65.5,14.2130231049691
"272",271,20.2869768950309,2.50006127700129e-18,79.7130314348491,65.5,14.2130231049691
"273",272,20.2869768950309,2.04035614584064e-18,79.7130314348491,65.5,14.2130231049691
"274",273,20.2869768950309,1.66518046584164e-18,79.7130314348491,65.5,14.2130231049691
"275",274,20.2869768950309,1.35899116900406e-18,79.7130314348491,65.5,14.2130231049691
"276",275,20.2869768950309,1.10910320852074e-18,79.7130314348491,65.5,14.2130231049691
"277",276,20.2869768950309,9.05164032855702e-19,79.7130314348491,65.5,14.2130231049691
"278",277,20.2869768950309,7.38724692238844e-19,79.7130314348491,65.5,14.2130231049691
"279",278,20.2869768950309,6.02889809045661e-19,79.7130314348491,65.5,14.2130231049691
"280",279,20.2869768950309,4.92031910764389e-19,79.7130314348491,65.5,14.2130231049691
"281",280,20.2869768950309,4.01558290715974e-19,79.7130314348491,65.5,14.2130231049691
"282",281,20.2869768950309,3.27720737852609e-19,79.7130314348491,65.5,14.2130231049691
"283",282,20.2869768950309,2.67460252973893e-19,79.7130314348491,65.5,14.2130231049691
"284",283,20.2869768950309,2.18280318144689e-19,79.7130314348491,65.5,14.2130231049691
"285",284,20.2869768950309,1.78143469019918e-19,79.7130314348491,65.5,14.2130231049691
"286",285,20.2869768950309,1.45386885195094e-19,79.7130314348491,65.5,14.2130231049691
"287",286,20.2869768950309,1.18653501601949e-19,79.7130314348491,65.5,14.2130231049691
"288",287,20.2869768950309,9.6835786966008e-20,79.7130314348491,65.5,14.2130231049691
"289",288,20.2869768950309,7.90298601450806e-20,79.7130314348491,65.5,14.2130231049691
"290",289,20.2869768950309,6.44980434427967e-20,79.7130314348491,65.5,14.2130231049691
"291",290,20.2869768950309,5.26383015269431e-20,79.7130314348491,65.5,14.2130231049691
"292",291,20.2869768950309,4.29592998444797e-20,79.7130314348491,65.5,14.2130231049691
"293",292,20.2869768950309,3.50600492339838e-20,79.7130314348491,65.5,14.2130231049691
"294",293,20.2869768950309,2.86132934367952e-20,79.7130314348491,65.5,14.2130231049691
"295",294,20.2869768950309,2.33519512718357e-20,79.7130314348491,65.5,14.2130231049691
"296",295,20.2869768950309,1.90580517900446e-20,79.7130314348491,65.5,14.2130231049691
"297",296,20.2869768950309,1.55537040054585e-20,79.7130314348491,65.5,14.2130231049691
"298",297,20.2869768950309,1.2693727089974e-20,79.7130314348491,65.5,14.2130231049691
"299",298,20.2869768950309,1.03596357098085e-20,79.7130314348491,65.5,14.2130231049691
"300",299,20.2869768950309,8.45473132352962e-21,79.7130314348491,65.5,14.2130231049691
"301",300,20.2869768950309,6.90009608015398e-21,79.7130314348491,65.5,14.2130231049691
